"acc","accuracy","avg_rt","block","category","correct","correct_response","count_reset_feedback","count_trial_sequence","count_word","number_letters","response_keyboard_response","response_time","subject_nr","subject_parity","target"
"100","100","877.8604170074686","practice","Word","1","[word_response]","NA","NA","NA","5","NA","877.8604170074686","0","odd","magic"
"100","100","696.1768545152154","practice","NW","1","[nonword_response]","NA","NA","NA","5","NA","514.4932920229621","0","odd","mocag"
"100","100","695.4825003437387","practice","NW","1","[nonword_response]","NA","NA","NA","5","NA","694.0937920007855","0","odd","ipple"
"100","100","675.2628232643474","practice","Word","1","[word_response]","NA","NA","NA","5","NA","614.6037920261733","0","odd","apple"
"100","100","655.3948586108163","practice","NW","1","[nonword_response]","NA","NA","NA","6","NA","575.9229999966919","0","odd","ourtel"
"100","100","632.3284030077048","practice","Word","1","[word_response]","NA","NA","NA","6","NA","516.9961249921471","0","odd","turtle"
"100","100","613.6959999566898","trial","Word","1","[word_response]","0","0","0","7","z","613.6959999566898","0","odd","blunder"
"100","100","556.8456039763987","trial","Word","1","[word_response]","0","1","1","7","z","499.99520799610764","0","odd","tarnish"
"100","100","518.2543889968656","trial","Word","1","[word_response]","0","2","2","4","z","441.0719590377994","0","odd","turn"
"100","100","491.5825417410815","trial","Word","1","[word_response]","0","3","3","6","z","411.56699997372925","0","odd","salute"
"100","100","493.1968499906361","trial","Word","1","[word_response]","0","4","4","7","z","499.6540829888545","0","odd","platter"
"100","100","482.10488199644413","trial","Word","1","[word_response]","0","5","5","5","z","426.64504202548414","0","odd","allow"
"100","100","482.36254771472886","trial","Word","1","[word_response]","0","6","6","6","z","483.90854202443734","0","odd","spirit"
"100","100","488.1250522521441","trial","Word","1","[word_response]","0","7","7","3","z","528.4625840140507","0","odd","dog"
"100","100","478.4176621146293","trial","Word","1","[word_response]","0","8","8","6","z","400.75854101451114","0","odd","banana"
"90","90","471.7823834042065","trial","NW","0","[nonword_response]","0","9","9","5","z","412.064875010401","0","odd","chowl"
"90.9090909090909","90.9090909090909","481.02382954675704","trial","PH","1","[nonword_response]","0","10","10","6","m","573.4382909722626","0","odd","proods"
"91.66666666666667","91.66666666666667","488.86971875132684","trial","Word","1","[word_response]","0","11","11","5","z","575.1745000015944","0","odd","quart"
"92.3076923076923","92.3076923076923","493.49573392492647","trial","PH","1","[nonword_response]","0","12","12","5","m","549.0079160081223","0","odd","phete"
"92.85714285714286","92.85714285714286","497.02325293245457","trial","Word","1","[word_response]","0","13","13","4","z","542.8810000303201","0","odd","beak"
"93.33333333333333","93.33333333333333","502.3317638707037","trial","Word","1","[word_response]","0","14","14","5","z","576.6509170061909","0","odd","table"
"93.75","93.75","502.16964319042745","trial","NW","1","[nonword_response]","0","15","15","7","m","499.73783298628405","0","odd","whurfed"
"88.23529411764706","88.23529411764706","505.3977940628743","trial","PH","0","[nonword_response]","0","16","16","3","z","557.0482080220245","0","odd","rey"
"88.88888888888889","88.88888888888889","513.538476836402","trial","PH","1","[nonword_response]","0","17","17","6","m","651.9300839863718","0","odd","grambs"
"89.47368421052632","89.47368421052632","545.1741600531692","trial","NW","1","[nonword_response]","0","18","18","3","m","1114.6164579549804","0","odd","dod"
"90","90","549.9101291497936","trial","PH","1","[nonword_response]","0","19","19","6","m","639.8935419856571","0","odd","pleets"
"90.47619047619048","90.47619047619048","553.6859464288378","trial","Word","1","[word_response]","0","20","20","6","z","629.2022920097224","0","odd","thrill"
"90.9090909090909","90.9090909090909","562.1601685442412","trial","NW","1","[nonword_response]","0","21","21","6","m","740.1188329677097","0","odd","fradge"
"91.30434782608695","91.30434782608695","563.9933985202451","trial","NW","1","[nonword_response]","0","22","22","6","m","604.3244579923339","0","odd","trynes"
"87.5","87.5","568.2339721655202","trial","PH","0","[nonword_response]","0","23","23","4","z","665.7671660068445","0","odd","spue"
"84","84","596.7116782790981","trial","Word","0","[word_response]","0","24","24","5","m","1280.1766250049695","0","odd","chute"
"84.61538461538461","84.61538461538461","606.8294422315935","trial","PH","1","[nonword_response]","0","25","25","6","m","859.7735410439782","0","odd","graits"
"85.18518518518519","85.18518518518519","607.445982927284","trial","Word","1","[word_response]","0","26","26","6","z","623.4760410152376","0","odd","square"
"85.71428571428571","85.71428571428571","606.8260311793503","trial","NW","1","[nonword_response]","0","27","27","6","m","590.0873339851387","0","odd","nonzed"
